Id,Causa,Materia,Argomento,settore,Gruppo,Argomento ori,,Settore breve,Industria
68,C-/13&nbsp;P,Diritto agrario comunitario/ Importazioni da Paesi terzi,Licenze,agricoltura - banane,4,Licenze - banane,,agricoltura,banane
67,C-/13,Diritto agrario comunitario/ Importazioni da Paesi terzi,Licenze,agricoltura - aglio,4,Licenze - aglio,,agricoltura,aglio
66,C-/12&nbsp;P,Aiuti di Stato,Risarcimento danni,industria - navale,4,Risarcimento danni - cantieristica navale,,industria,navale
65,T-/10,Concorrenza,Intese,industria - siderurgia,4,Intese - prodotti siderurgici,,industria,siderurgia
64,C-/09,Diritto agrario comunitario/Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane,,agricoltura,banane
63,T-/09,Aiuti di Stato,Risarcimento danni,industria - navale,4,Risarcimento danni - cantieristica navale,,industria,navale
62,C-/09,Fiscalitˆ,Imposta di registro, - notai,4,Imposta di registro - Notai,,,notai
61,C-/08,Diritto agrario comunitario,Sovvenzioni comunitarie,agricoltura - bovini,4,Sovvenzioni comunitarie - bovini,,agricoltura,bovini
60,T-/07,Concorrenza,Clausola compromissoria - fideiussione bancaria,bancario - bancario,4,Clausola compromissoria - fideiussione bancaria,,bancario,bancario
59,C-/07,Pesca / Ambiente,Reti da posta derivanti per la pesca del tonno nel bacino mediterraneo francese,ambiente - pesca,4,Reti da posta derivanti per la pesca del tonno nel bacino mediterraneo francese,,ambiente,pesca
58,C-/06&nbsp;P,Concorrenza,Intese,industria - siderurgia,4,Intese - prodotti siderurgici,,industria,siderurgia
57,T-/05,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane,,agricoltura,banane
56,C-/05&nbsp;P,Concorrenza,Aiuti di Stato,industria - siderurgia,4,Aiuti di Stato - prodotti siderurgici,,industria,siderurgia
55,T-/04,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane,,agricoltura,banane
54,T-/04,Trasparenza amministrativa delle istituzioni comunitarie,Accesso ai documenti, - ,4,Accesso ai documenti,,,
53,T-/04,Trasparenza amministrativa delle istituzioni comunitarie,Accesso ai documenti, - ,4,Accesso ai documenti,,,
52,T-/04,Concorrenza,Intese,industria - siderurgia,4,Intese - prodotti siderurgici,,industria,siderurgia
51,C-/03&nbsp;P,Diritto agrario comunitario / Importazioni da Paesi terzi,Licenze,agricoltura - banane,4,Licenze - banane,,agricoltura,banane
50,C-/03,Ambiente,Inquinamento,ambiente - acque lacustri francesi,4,Inquinamento - acque lacustri francesi,,ambiente,acque lacustri francesi
49,T-/03,Concorrenza,Intese,industria - siderurgia,4,Intese - prodotti siderurgici,,industria,siderurgia
48,C-/02&nbsp;P,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei,,,
47,T-/01,Concorrenza,Aiuti di Stato,industria - siderurgia,4,Aiuti di Stato - prodotti siderurgici,,industria,siderurgia
46,T-/01,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei,,,
45,T-/01,Trasparenza amministrativa delle istituzioni comunitarie,Accesso ai documenti, - ,4,Accesso ai documenti,,,
44,T-/01,Diritto agrario comunitario / Importazioni da Paesi terzi,Licenze,agricoltura - banane,4,Licenze - banane,,agricoltura,banane
43,C-/00&nbsp;P,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei,,,
42,C-/00&nbsp;P,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane,,agricoltura,banane
41,C-/00,Diritto agrario comunitario,Quote latte,agricoltura - latte,4,Quote latte,,agricoltura,latte
40,T-/00,Diritto agrario comunitario / Importazioni da Paesi terzi,Licenze,agricoltura - banane,4,Licenze - banane,,agricoltura,banane
39,T-/99,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei,,,
38,T-/99,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei,,,
37,T-/99,Diritto parlamentare europeo,Regime pensionistico dei Deputati europei, - ,4,Regime pensionistico dei Deputati europei,,,
36,T-/99,Funzione pubblica europea,Statuto dei funzionari europei, - ,4,Statuto dei funzionari europei,,,
35,T-/98,Diritto agrario comunitario,Vendita da organismi di intervento,agricoltura - orzo,4,Vendita da organismi di intervento - orzo,,agricoltura,orzo
34,T-/98,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane,,agricoltura,banane
33,C-/98&nbsp;P,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane,,agricoltura,banane
32,T-/97,Diritto agrario comunitario / Importazioni da Paesi terzi,Risarcimento danni,agricoltura - banane,4,Risarcimento danni - banane,,agricoltura,banane
31,T-/97,Ricerca scientifica,Finanziamenti comunitari, - ,4,Finanziamenti comunitari,,,
30,T-/97,Diritto agrario comunitario / Importazioni da Paesi terzi,Ricorso in carenza,agricoltura - banane,4,Ricorso in carenza - banane,,agricoltura,banane
29,T-/97,Diritto agrario comunitario,Finanziamenti comunitari,agricoltura - foraggi,4,Finanziamenti comunitari - foraggi,,agricoltura,foraggi
28,T-/96,Diritto agrario comunitario / Importazioni da Paesi terzi,Ricorso in carenza,agricoltura - banane,4,Ricorso in carenza - banane,,agricoltura,banane
27,C-/95,Diritto agrario comunitario / Importazioni da Paesi terzi,Contingenti tariffari banane,agricoltura - banane,3,Contingenti tariffari  banane,,agricoltura,banane
26,C-/95,Diritto agrario comunitario,Aiuti all'estensivizzazione carni bovine,agricoltura - carne,3,Aiuti all'estensivizzazione carni bovine,,agricoltura,carne
25,C-/95&nbsp;P,Concorrenza,Intese prodotti siderurgici,industria - siderurgia,3,Intese prodotti siderurgici,,industria,siderurgia
24,T-/93,Diritto agrario comunitario,Finanziamenti comunitari,agricoltura - foraggi,3,Finanziamenti comunitari foraggi,,agricoltura,foraggi
23,T-/93,Concorrenza,Aiuti di Stato,industria - cemento,3,Aiuti di Stato cemento,,industria,cemento
22,C-/92,Diritto doganale / Importazione da Paesi terzi,Classificazione tariffaria,agricoltura - frutta,3,Classificazione tariffaria ortofruttta,,agricoltura,frutta
21,C-/92,Concorrenza,Aiuti di Stato,industria - cemento,3,Aiuti di Stato cemento,,industria,cemento
20,C-/91,Diritto agrario comunitario,Aiuti all'estensivizzazione carni bovine,agricoltura - carne,3,Aiuti all'estensivizzazione carni bovine,,agricoltura,carne
19,C-/90,Importazioni da Paesi terzi,Imposta di consumo,agricoltura - banane,3,Imposta di consumo  banane,,agricoltura,banane
18,T-/89,Concorrenza,Intese  prodotti siderurgici,industria - siderurgia,3,Intese  prodotti siderurgici,,industria,siderurgia
17,/88,Libera circolazione delle merci,Misure di salvaguardia,agricoltura - banane,3,Misure di salvaguardia  banane,,agricoltura,banane
16,/85,Libera circolazione delle merci,Imposta di consumo,agricoltura - banane,3,Imposta di consumo  banane,,agricoltura,banane
